total_chunks,average_chunk_size,median_chunk_size,max_chunk_size,min_chunk_size,threshold,processing_time,document_id,timestamp
556,6.919064748201439,4.0,66,1,0.1,6.360732316970825,00fb61fa7bee266ad995e52190ebb73606b60b70,2025-09-30T20:59:54.053671
1716,2.241841491841492,1.0,32,1,0.2,6.316620349884033,00fb61fa7bee266ad995e52190ebb73606b60b70,2025-09-30T21:00:00.370382
2759,1.3943457774555998,1.0,19,1,0.3,6.648648500442505,00fb61fa7bee266ad995e52190ebb73606b60b70,2025-09-30T21:00:07.019168
3362,1.1442593694229626,1.0,15,1,0.4,6.11264705657959,00fb61fa7bee266ad995e52190ebb73606b60b70,2025-09-30T21:00:13.132014
3636,1.058030803080308,1.0,7,1,0.5,6.122820854187012,00fb61fa7bee266ad995e52190ebb73606b60b70,2025-09-30T21:00:19.254972
3772,1.0198833510074232,1.0,5,1,0.6,6.070009231567383,00fb61fa7bee266ad995e52190ebb73606b60b70,2025-09-30T21:00:25.325069
3827,1.0052260256075254,1.0,4,1,0.7,6.231077194213867,00fb61fa7bee266ad995e52190ebb73606b60b70,2025-09-30T21:00:31.556237
3843,1.0010408534998698,1.0,2,1,0.8,6.0327653884887695,00fb61fa7bee266ad995e52190ebb73606b60b70,2025-09-30T21:00:37.589099
3847,1.0,1.0,1,1,0.9,6.019357681274414,00fb61fa7bee266ad995e52190ebb73606b60b70,2025-09-30T21:00:43.608556
