chunk_size,bottleneck_dim,compression_ratio,num_chunks,num_sentences,training_time,final_train_loss,final_val_loss,mse,avg_cosine_similarity,min_cosine_similarity,max_cosine_similarity,std_cosine_similarity,avg_semantic_similarity,min_semantic_similarity,max_semantic_similarity,std_semantic_similarity,timestamp
3,16,24.0,2016,6050,0.6729819774627686,0.0021670146379619837,0.0021451259963214397,0.0021579116582870483,0.4131087064743042,-0.031261198222637177,0.6384475231170654,0.10250792652368546,0.4131087064743042,-0.03126119449734688,0.6384475231170654,0.10250791162252426,2025-10-02T13:57:04.881914
3,32,12.0,2016,6050,0.5478191375732422,0.0021758037619292736,0.0021405688021332026,0.0021588001400232315,0.41357186436653137,0.1486527919769287,0.6422430276870728,0.09158462285995483,0.41357186436653137,0.1486527919769287,0.642242968082428,0.09158462285995483,2025-10-02T13:57:06.457468
3,64,6.0,2016,6050,0.514775276184082,0.0021708437707275152,0.0021466391626745462,0.0021710677538067102,0.40782392024993896,-0.07653945684432983,0.6431192755699158,0.11164993792772293,0.40782392024993896,-0.07653945684432983,0.643119215965271,0.11164993047714233,2025-10-02T13:57:07.996601
3,128,3.0,2016,6050,0.481673002243042,0.002175369765609503,0.0021533428225666285,0.0021490033250302076,0.41819658875465393,-0.06440684199333191,0.6402795314788818,0.1083550900220871,0.41819658875465393,-0.06440684199333191,0.6402795314788818,0.1083550900220871,2025-10-02T13:57:09.495391
3,256,1.5,2016,6050,0.385303258895874,0.0021775614004582167,0.002184440614655614,0.002145941136404872,0.41957682371139526,-0.015049587935209274,0.7080661058425903,0.1089978814125061,0.41957682371139526,-0.015049587935209274,0.7080661058425903,0.1089978814125061,2025-10-02T13:57:10.900154
5,16,24.0,1210,6050,0.5054943561553955,0.0019770325161516666,0.001958141103386879,0.0019492959836497903,0.4993807375431061,0.009487824514508247,0.6600701808929443,0.0980144590139389,0.4993807375431061,0.009487831965088844,0.6600701808929443,0.0980144590139389,2025-10-02T13:57:12.237459
5,32,12.0,1210,6050,0.3429419994354248,0.0021022239234298468,0.002116577001288533,0.0020515271462500095,0.4612499177455902,0.261318176984787,0.6544416546821594,0.09448081254959106,0.4612499177455902,0.261318176984787,0.6544417142868042,0.09448082000017166,2025-10-02T13:57:13.408982
5,64,6.0,1210,6050,0.28307342529296875,0.002096214098855853,0.002065713983029127,0.0020397892221808434,0.46600016951560974,0.22678151726722717,0.6631169319152832,0.094880111515522,0.46600016951560974,0.22678151726722717,0.6631169319152832,0.09488008916378021,2025-10-02T13:57:14.508623
5,128,3.0,1210,6050,0.4089055061340332,0.0020883409306406975,0.0020812537986785173,0.0020983023568987846,0.4407975375652313,-0.0397830605506897,0.731278657913208,0.11481788009405136,0.4407975375652313,-0.03978307172656059,0.731278657913208,0.11481788754463196,2025-10-02T13:57:15.692091
5,256,1.5,1210,6050,0.481353759765625,0.0020923002157360315,0.0020638685673475266,0.0020435121841728687,0.46451467275619507,0.2488611787557602,0.7300735116004944,0.0942881777882576,0.46451467275619507,0.248861163854599,0.7300734519958496,0.0942881777882576,2025-10-02T13:57:16.962248
7,16,24.0,864,6050,0.536367654800415,0.0018989889649674296,0.001900822389870882,0.0018960529705509543,0.518272340297699,0.05735944211483002,0.6899678707122803,0.09838047623634338,0.518272340297699,0.05735944211483002,0.6899677515029907,0.09838047623634338,2025-10-02T13:57:18.258130
7,32,12.0,864,6050,0.5622131824493408,0.0020248189102858305,0.0020353486761450768,0.0019905506633222103,0.4853900969028473,0.217881977558136,0.7150497436523438,0.10536561906337738,0.4853900969028473,0.217881977558136,0.7150498032569885,0.10536561906337738,2025-10-02T13:57:19.575553
7,64,6.0,864,6050,0.3840456008911133,0.0020397608168423176,0.002017601393163204,0.001996993785724044,0.48310235142707825,0.2829934358596802,0.695545494556427,0.09664294868707657,0.48310235142707825,0.2829934358596802,0.6955454349517822,0.09664295613765717,2025-10-02T13:57:20.724456
7,128,3.0,864,6050,0.36386871337890625,0.0020155401434749365,0.002054591430351138,0.0020973968785256147,0.44239744544029236,-0.07040885090827942,0.6535305380821228,0.140987366437912,0.44239750504493713,-0.07040885090827942,0.653530478477478,0.1409873515367508,2025-10-02T13:57:21.831196
7,256,1.5,864,6050,0.18094158172607422,0.0020512985065579414,0.0020309709943830967,0.0019726452883332968,0.4931580126285553,-0.01021728478372097,0.7134485244750977,0.10868769884109497,0.4931580126285553,-0.010217281989753246,0.7134485244750977,0.10868770629167557,2025-10-02T13:57:22.703471
10,16,24.0,605,6050,0.5287768840789795,0.001830100896768272,0.0017003274988383055,0.0018993359990417957,0.5163335800170898,-0.005001194775104523,0.710391104221344,0.1353219449520111,0.5163335800170898,-0.0050011929124593735,0.7103910446166992,0.1353219449520111,2025-10-02T13:57:23.875089
10,32,12.0,605,6050,0.5628023147583008,0.0018315863562747836,0.001743399421684444,0.0018037938280031085,0.5503934621810913,0.11728595197200775,0.7395643591880798,0.11742082983255386,0.5503934621810913,0.11728595197200775,0.7395642995834351,0.11742083728313446,2025-10-02T13:57:25.132985
10,64,6.0,605,6050,0.20840215682983398,0.0019881795160472393,0.0019549778662621975,0.0019273933721706271,0.5100290775299072,0.15359248220920563,0.7490977048873901,0.1009870246052742,0.5100290179252625,0.15359248220920563,0.7490977048873901,0.1009870246052742,2025-10-02T13:57:26.029713
