chunk_size,bottleneck_dim,compression_ratio,num_chunks,num_sentences,training_time,final_train_loss,final_val_loss,mse,avg_cosine_similarity,min_cosine_similarity,max_cosine_similarity,std_cosine_similarity,avg_semantic_similarity,min_semantic_similarity,max_semantic_similarity,std_semantic_similarity,timestamp
3,16,24.0,2016,6050,0.6615869998931885,0.0021766077261418104,0.0021552778780460358,0.002145653823390603,0.4200693964958191,-0.02471180632710457,0.6382667422294617,0.11021630465984344,0.4200693964958191,-0.024711810052394867,0.6382666826248169,0.11021630465984344,2025-10-02T13:57:52.354448
3,32,12.0,2016,6050,0.5418508052825928,0.002169795334339142,0.002148410538211465,0.0021720549557358027,0.4073353707790375,-0.048890016973018646,0.6415178775787354,0.11286639422178268,0.4073353409767151,-0.04889003187417984,0.6415178179740906,0.11286639422178268,2025-10-02T13:57:53.924582
3,64,6.0,2016,6050,0.5019516944885254,0.002174210734665394,0.002150064567103982,0.002166096353903413,0.4101372957229614,-0.07564888894557953,0.640052855014801,0.11587761342525482,0.4101372957229614,-0.07564891874790192,0.6400527954101562,0.11587761342525482,2025-10-02T13:57:55.466850
3,128,3.0,2016,6050,0.4104025363922119,0.0021685604006052017,0.002180393785238266,0.0021830855403095484,0.40221548080444336,-0.06420590728521347,0.6383793354034424,0.121668741106987,0.40221545100212097,-0.06420590728521347,0.6383793354034424,0.1216687336564064,2025-10-02T13:57:56.884465
3,256,1.5,2016,6050,0.41579675674438477,0.0021784415002912283,0.0021765243727713823,0.00215863692574203,0.41362637281417847,-0.05795861408114433,0.706520676612854,0.10469628870487213,0.41362637281417847,-0.057958610355854034,0.7065207362174988,0.10469628870487213,2025-10-02T13:57:58.337475
5,16,24.0,1210,6050,0.6605288982391357,0.0020791476126760244,0.002092444570735097,0.002121895318850875,0.4302004873752594,0.004807034507393837,0.6450526714324951,0.101445771753788,0.4302004873752594,0.004807045683264732,0.6450526714324951,0.101445771753788,2025-10-02T13:57:59.845920
5,32,12.0,1210,6050,0.5585229396820068,0.002042366424575448,0.002035591285675764,0.002055687364190817,0.45875585079193115,-0.03506198152899742,0.677781879901886,0.10386151075363159,0.45875588059425354,-0.03506198897957802,0.6777818202972412,0.10386151075363159,2025-10-02T13:58:01.248638
5,64,6.0,1210,6050,0.3297760486602783,0.0020912738982588053,0.0020464996341615915,0.0020982453133910894,0.4407554566860199,0.027822542935609818,0.6657484173774719,0.10347064584493637,0.4407554566860199,0.02782254107296467,0.6657483577728271,0.10347064584493637,2025-10-02T13:58:02.401311
5,128,3.0,1210,6050,0.3357853889465332,0.0020992024801671505,0.0020794037263840437,0.002051040530204773,0.46109071373939514,-0.05879462510347366,0.6552237868309021,0.11089406907558441,0.46109071373939514,-0.058794617652893066,0.6552239060401917,0.11089407652616501,2025-10-02T13:58:03.563885
5,256,1.5,1210,6050,0.2610044479370117,0.0021037724800407887,0.0020702918991446495,0.002054826356470585,0.4595193862915039,0.012792926281690598,0.6863502264022827,0.10699016600847244,0.4595193862915039,0.012792922556400299,0.6863501667976379,0.10699016600847244,2025-10-02T13:58:04.655388
